City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Iquique,CL,-20.2208,-70.1431,59.04,78,60,2.17,broken clouds
289,Turbat,PK,26.0023,63.044,82.38,74,100,2.82,overcast clouds
290,Lincoln,US,40.8,-96.667,80.51,66,0,3.44,clear sky
291,Mumford,GH,5.2618,-0.759,74.75,86,67,13.35,broken clouds
292,Otjimbingwe,NA,-22.35,16.1333,57.63,20,4,1.21,clear sky
293,Henties Bay,NA,-22.116,14.2845,52.59,84,1,1.23,clear sky
294,Pocri,PA,8.2667,-80.55,73.81,97,100,8.1,overcast clouds
295,Wodonga,AU,-36.1167,146.8833,59.27,93,100,6.91,overcast clouds
296,Tautira,PF,-17.7333,-149.15,77.04,79,41,26.31,light rain
297,Kiyasovo,RU,56.3491,53.1244,63.81,69,18,6.24,few clouds
298,Arcachon,FR,44.5875,-1.0519,61.12,88,75,0.0,broken clouds
299,Malakal,SS,9.5334,31.6605,71.17,96,100,2.59,overcast clouds
300,Kathmandu,NP,27.7167,85.3167,71.82,88,75,4.61,broken clouds
301,Kahului,US,20.8947,-156.47,84.22,66,20,23.02,few clouds
302,Malanje,AO,-9.5402,16.341,57.11,85,100,2.77,overcast clouds
303,Padang,ID,-0.9492,100.3543,86.05,57,24,4.41,few clouds
304,Novoilinsk,RU,51.6829,108.7143,63.18,63,100,10.09,overcast clouds
305,Oskemen,KZ,49.9565,82.6119,80.56,47,25,2.24,scattered clouds
306,Namatanai,PG,-3.6667,152.4333,84.97,67,69,13.09,broken clouds
307,Tabou,CI,4.423,-7.3528,74.93,75,98,10.58,overcast clouds
308,Ugoofaaru,MV,5.6667,73.0,82.13,74,99,15.55,overcast clouds
309,Sulangan,PH,11.1373,123.7228,84.65,71,99,7.29,overcast clouds
310,Rancho Palos Verdes,US,33.7445,-118.387,73.45,89,11,5.01,few clouds
311,Port Hardy,CA,50.6996,-127.4199,69.98,73,20,4.61,few clouds
312,Arlit,NE,18.7369,7.3853,85.42,50,84,20.33,broken clouds
313,Yakima,US,46.4665,-120.6678,94.28,34,94,3.0,overcast clouds
314,Leningradskiy,RU,69.3833,178.4167,39.06,79,95,7.56,overcast clouds
315,Necochea,AR,-38.5473,-58.7368,49.33,95,100,15.95,light rain
316,Bunbury,AU,-33.3333,115.6333,62.56,65,56,14.27,broken clouds
317,Mgachi,RU,51.05,142.2667,71.06,56,22,5.1,few clouds
318,Kosum Phisai,TH,16.2486,103.0674,90.09,50,9,3.6,heavy intensity rain
319,Kang,BW,-23.6752,22.7876,55.85,40,22,10.4,few clouds
320,Codrington,AU,-38.2667,141.9667,48.88,89,100,7.02,light rain
321,Odweyne,SO,9.4092,45.064,70.68,51,30,19.44,scattered clouds
322,Keti Bandar,PK,24.1447,67.4497,84.38,76,80,14.0,broken clouds
323,Filingue,NE,14.3521,3.3168,84.74,60,100,14.45,overcast clouds
324,Domoni,KM,-12.2569,44.5319,73.65,73,13,9.51,few clouds
325,Oktyabrskiy,RU,54.4815,53.471,65.97,72,49,7.49,scattered clouds
326,Maniitsoq,GL,65.4167,-52.9,41.23,85,39,9.93,scattered clouds
327,Novyy Urengoy,RU,66.0833,76.6333,60.3,56,3,12.75,clear sky
328,Conceicao Do Araguaia,BR,-8.2578,-49.2647,69.51,48,2,2.82,clear sky
329,Palmer,US,42.1584,-72.3287,71.15,76,40,0.0,scattered clouds
330,Dum Duma,IN,27.5667,95.5667,79.36,92,99,2.08,overcast clouds
331,Bahia Blanca,AR,-38.7196,-62.2724,44.33,86,51,6.24,broken clouds
332,Camacha,PT,33.0833,-16.3333,67.42,83,40,13.8,scattered clouds
333,Flin Flon,CA,54.7682,-101.865,56.86,66,56,6.22,broken clouds
334,Vestmannaeyjar,IS,63.4427,-20.2734,51.58,74,97,16.98,overcast clouds
335,Saryg-Sep,RU,51.5,95.6,70.88,37,90,1.68,overcast clouds
336,Constantine,DZ,36.365,6.6147,71.01,64,0,5.75,clear sky
337,San Luis,AR,-33.295,-66.3356,43.84,89,99,7.29,overcast clouds
338,Taltal,CL,-25.4,-70.4833,59.25,79,100,3.83,overcast clouds
339,La Asuncion,VE,11.0333,-63.8628,80.33,89,90,9.22,overcast clouds
340,Kushiro,JP,42.975,144.3747,77.95,78,75,5.75,broken clouds
341,San Policarpo,PH,12.1791,125.5072,86.4,74,100,7.85,overcast clouds
342,Spornoye,RU,50.8448,37.2913,69.76,73,5,3.27,clear sky
343,Sabang,ID,5.8933,95.3214,81.93,74,70,5.73,broken clouds
344,Thompson,CA,55.7435,-97.8558,59.16,88,75,2.3,broken clouds
345,Seoul,KR,37.5683,126.9778,90.79,54,20,5.75,few clouds
346,Denpasar,ID,-8.65,115.2167,83.86,74,40,17.27,scattered clouds
347,Raahe,FI,64.6833,24.4833,57.29,79,99,11.99,overcast clouds
348,Usinsk,RU,65.9939,57.5281,67.06,50,67,13.73,broken clouds
349,Karpathos,GR,35.507,27.2132,73.36,88,0,17.27,clear sky
350,Chissamba,AO,-12.1667,17.3333,51.55,40,100,1.68,overcast clouds
351,Langres,FR,47.8333,5.3333,49.19,80,14,4.81,few clouds
352,Liaqatabad,PK,31.5647,74.3029,84.36,84,75,11.5,mist
353,Tottori,JP,35.5,134.2333,86.07,79,40,10.36,scattered clouds
354,Rockland,US,41.1668,-74.0496,76.59,78,100,3.85,overcast clouds
355,Gornopravdinsk,RU,60.05,69.9,63.3,60,99,9.33,overcast clouds
356,Sri Aman,MY,1.2376,111.4621,86.09,74,40,2.3,scattered clouds
