City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Meiktila,MM,92.73,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
566,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
567,Bandar-E Lengeh,IR,87.91,broken clouds,26.5579,54.8807,کافی نت پارس
568,Loa Janan,ID,78.15,light rain,-0.583,117.095,Kost bu jono
574,Vanimo,PG,84.81,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
578,Coahuayana,MX,77.67,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
580,Rawah,IQ,90.54,clear sky,34.4816,41.9093,بيت سميع
581,Jizan,SA,83.34,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
590,Borazjan,IR,91.13,broken clouds,29.2666,51.2159,شرکت زرمهریار شعبه سوم
591,Biak,ID,80.28,overcast clouds,-0.9131,122.8766,Penginapan Kim
598,Collierville,US,86.81,clear sky,35.042,-89.6645,Hampton Inn Memphis/Collierville
599,Badvel,IN,86.09,broken clouds,14.75,79.05,Venkatalakshuma five star tiffin centre
600,Ramgarh,IN,86.05,overcast clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
601,Gornyak,RU,84.51,broken clouds,50.9942,81.4661,"Комфорт ""Danilo"""
602,Gohad,IN,88.72,overcast clouds,26.4261,78.4447,Shree Dauji Nasta Center
604,Isla Mujeres,MX,82.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
605,Walla Walla,US,92.86,few clouds,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
606,Bafoulabe,ML,76.23,broken clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
607,Zhangye,CN,87.64,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
610,Bahia Honda,CU,79.54,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
611,Hobyo,SO,75.47,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
613,Sinnamary,GF,76.42,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
616,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
619,Rodrigues Alves,BR,75.4,overcast clouds,-7.738,-72.6509,Pousada Aconchego
621,Clinton,US,76.89,clear sky,42.587,-82.9199,River's Edge
624,Srivardhan,IN,81.7,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
627,Benicarlo,ES,78.24,scattered clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
628,Gorontalo,ID,83.16,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
631,Meulaboh,ID,83.95,overcast clouds,4.1363,96.1285,Kost Pria
635,Tual,ID,79.0,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
637,Makakilo City,US,82.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
639,Slave Lake,CA,76.98,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
641,Laguna,US,84.61,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
645,Dovers,VC,80.17,scattered clouds,12.8833,-61.1833,Ocean Breeze
646,Lorengau,PG,83.91,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
647,Ures,MX,81.0,overcast clouds,29.4333,-110.4,HOTEL SAHUARO HOUSE
648,Zabid,YE,90.54,scattered clouds,14.1951,43.3152,مغرب التريبه
651,Zunyi,CN,79.23,light rain,27.6867,106.9072,Bishiluo Hostel
652,Axim,GH,75.45,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
653,Jeremie,HT,79.7,broken clouds,18.65,-74.1167,Auberge’Inn
657,Tianpeng,CN,84.38,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
658,Hit,IQ,92.17,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
666,Samana,DO,76.53,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
670,Iralaya,HN,79.09,clear sky,15.0,-83.2333,Iglesia morava renovada
671,Sabalgarh,IN,84.34,light rain,26.25,77.4,Kailadevi studio
674,Mangrol,IN,82.69,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
675,Kudahuvadhoo,MV,82.54,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
676,Elizabeth City,US,79.02,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
677,Panaba,MX,76.96,broken clouds,21.2833,-88.2667,Hotel Don Fernando
679,Isangel,VU,76.51,light rain,-19.55,169.2667,Tanna Lodge
683,Praya,CV,79.47,overcast clouds,14.9215,-23.5087,LT Aparthotel
688,Wangqing,CN,85.78,broken clouds,43.3218,129.7634,Jianan Fashion Hotel
692,Maumere,ID,82.78,few clouds,-8.6199,122.2111,Sylvia Hotel
693,Nyurba,RU,88.05,scattered clouds,63.2842,118.3319,"Гостиница ""Comfort"""
694,Bodden Town,KY,82.92,few clouds,19.2833,-81.25,Will T Place
699,Shush,IR,91.27,overcast clouds,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
702,Santa Rosa,PH,89.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
703,Pakxan,LA,91.99,clear sky,18.3778,103.6601,Kong Kham Pheng Guesthouse
705,Chaman,PK,79.86,light rain,30.9236,66.4512,Niamat parda Center chaman
709,Estelle,US,82.99,scattered clouds,29.8458,-90.1067,Ohio
712,La Palma,US,80.11,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
716,Najran,SA,81.91,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
